Default Dataset,,,Dataset L,
0.079567704,-0.013193403,,0.084609186,0.986286295
0.160095073,-0.015592204,,0.149073328,0.972760656
0.252705773,-0.019190405,,0.269943594,0.946263294
0.329177199,-0.015592204,,0.382755842,0.871023726
0.409668354,-0.010794603,,0.511684126,0.779927032
0.490177617,-0.009595202,,0.592264303,0.738016322
0.578732373,-0.007196402,,0.664786463,0.660830311
0.683438474,-0.014392804,,0.769540693,0.57559888
0.743843054,-0.017991004,,0.858178888,0.474418831
0.812281058,-0.017991004,,0.914585012,0.413230058
0.876693296,-0.017991004,,1.011281225,0.340591561
0.925002475,-0.017991004,,1.132151491,0.265636565
1.005505701,-0.015592204,,1.236905721,0.207177138
1.069899833,-0.011994003,,1.269137792,0.185509356
1.134306035,-0.010794603,,1.349717969,0.148735211
1.247033488,-0.011994003,,1.406124093,0.131353237
1.327524643,-0.007196402,,1.462530218,0.114411786
1.408009763,-0.0011994,,1.502820306,0.103870388
1.625364854,0.005997001,,1.575342466,0.0868022
1.746107623,0.011994003,,1.63174859,0.075606776
1.850783545,0.010794603,,1.684125705,0.066770973
1.915195784,0.010794603,,1.744560838,0.058159102
2.080179717,0.025187406,,1.800966962,0.050657958
2.253245358,0.033583208,,1.873489122,0.044124283
2.406170103,0.044377811,,1.994359388,0.033476314
2.486649187,0.051574213,,2.082997583,0.028364401
2.579199531,0.059970015,,2.187751813,0.02274163
2.69596482,0.056371814,,2.300564061,0.01823348
2.752325528,0.056371814,,2.413376309,0.015028358
2.824753082,0.063568216,,2.558420629,0.01238664
2.913277661,0.071964018,,2.679290894,0.009660676
3.017905299,0.08035982,,2.824335214,0.007962501
3.082293394,0.085157421,,2.953263497,0.006746608
3.178863467,0.094752624,,3.090249799,0.005716385
3.251303092,0.099550225,,3.203062047,0.004843479
3.323754789,0.101949025,,3.340048348,0.00388334
3.428412605,0.104347826,,3.460918614,0.003290345
3.524982678,0.113943028,,3.605962933,0.002787901
3.62155275,0.123538231,,3.734891217,0.002428328
3.718128858,0.131934033,,3.879935536,0.002115131
3.911293146,0.146326837,,4.000805802,0.001817064
4.080387343,0.143928036,,4.11361805,0.001518481
4.233287945,0.15952024,,4.282836422,0.001322633
4.418346382,0.184707646,,4.387590653,0.001217467
4.583342387,0.196701649,,4.524576954,0.001090137
4.748404783,0.195502249,,4.669621273,0.000898511
,,,4.806607575,0.000740568
,,,4.903303787,0.000681684
