Pol (Q/I),,,Lumi,
0.086642599,-0.006451613,,0.079422383,1
0.245487365,0.006451613,,0.158844765,1
0.418772563,-0.002150538,,0.245487365,1
0.577617329,0.006451613,,0.303249097,1
0.750902527,0.025806452,,0.418772563,1
0.916967509,0.034408602,,0.548736462,0.987696821
1.083032491,0.023655914,,0.678700361,0.939979278
1.249097473,-0.017204301,,0.768953069,0.861953566
1.581227437,-0.1,,0.913357401,0.624739441
1.750902527,-0.12688172,,0.97833935,0.452807883
1.916967509,-0.13655914,,1.075812274,0.279406535
2.083032491,-0.103225806,,1.14801444,0.172408685
2.249097473,-0.088172043,,1.205776173,0.11601553
2.415162455,-0.024731183,,1.386281588,0.031233716
2.584837545,-0.006451613,,1.509025271,0.012809344
2.750902527,0.07311828,,1.577617329,0.008002502
,,,1.707581227,0.003322809
,,,1.823104693,0.001600667
,,,1.895306859,0.001
,,,2.032490975,0.000430932
,,,2.101083032,0.000282887
,,,2.23465704,0.000131304
,,,2.321299639,7.81E-05
,,,2.393501805,5.12E-05
,,,2.451263538,3.71E-05
,,,2.527075812,2.44E-05
,,,2.584837545,1.75E-05
,,,2.678700361,1.13E-05
