GRB	z	α [β]	Fluence (10−6 erg cm−2)	Range (keV)	Peak flux (erg cm−2 s−1)	Range (keV)	Mission	Epeak (keV)	Eiso (1052 erg)	Liso (1051 erg s−1)	Ref.
050318	1.44	−1.34 ± 0.32	2.1 ± 0.21	15–350	(2.2 ± 0.17) × 10−7	15–150	S	115 ± 27	1.69 ± 0.17	4.76 ± 0.37	1, 2
050401	2.90	−1.0 [−2.45]	19.3 ± 0.4	20–2000	(2.45 ± 0.12) × 10−6	20–2000	K	499 ± 117	40.6 ± 0.84	201 ± 9.85	3
050416A	0.653	−1.0 [−3.4]	0.35 ± 0.03	15–150	5.0 ± 0.5a	15–150	S	26 ± 4	0.094 ± 0.008	0.97 ± 0.09	4
050525A	0.606	−0.99 ± 0.11	20.1 ± 0.5	15–350	47.7 ± 1.2a	15–350	S	127 ± 6	2.32 ± 0.06	7.23 ± 0.18	5
050802	1.71	−1.6 ± 0.1	2.7 ± 0.4	15–350	(22.1 ± 3.53) × 10−8	15–150	S	>192	>3.19	>8.90	6, 7
050922C	2.198	−0.83 ± 0.24	3.14 ± 0.31	2–400	(4.5 ± 0.7) × 10−6	20–2000	H/K	416 ± 118	3.74 ± 0.37	184 ± 28.7	8, 9
060206	4.048	−1.12 ± 0.30	0.84 ± 0.04	15–150	(2.02 ± 0.13) × 10−7	15–150	S	409 ± 116	4.10 ± 0.21	49.6 ± 3.24	7
060210	3.91	−1.12 ± 0.26	6.92 ± 0.37	15–150	2.8 ± 0.3a	15–150	S	574 ± 187	35.3 ± 1.9	52.8 ± 5.66	10, 11
060306	3.5	−1.2 ± 0.5	2.5 ± 0.34	15–350	(47.1 ± 2.78) × 10−8	15–150	S	315±135	8.26 ± 1.12	83.0 ± 4.9	6, 7
060614	0.125		21.7 ± 0.4	15–150	11.6 ± 0.7a	15–150	S	55 ± 45	0.25 ± 0.10	0.053 ± 0.014	12, 13
060814	1.92	−1.43 ± 0.16	26.9 ± 2.6	20–1000	(2.13 ± 0.35) × 10−6	20–1000	K	750 ± 245	30.7 ± 2.97	70.9 ± 11.7	14
060904A		−1.22 ± 0.05	8.49 ± 0.50	15–1000	(1.3 ± 0.3) × 10−6	20–10 000	K/Su/S	235 ± 25b			15
060908	1.88	−0.93 ± 0.25	2.81 ± 0.11	15–150	(2.81 ± 0.23) × 10−7	15–150	S	426 ± 207	4.41 ± 0.18	12.7 ± 1.04	7
060912Ac	0.94	−1.85 ± 0.08	2.87 ± 0.42	15–1000	(2.5 ± 0.9) × 10−6	20–10 000	K/Su/S				15
060927	5.47	−0.81 ± 0.36	1.12 ± 0.07	15–150	(2.47 ± 0.17) × 10−7	15–150	S	459 ± 90	7.56 ± 0.46	108 ± 7.6	7
061007	1.261	−0.75 ± 0.02 [−2.79 ± 0.09]	193 ± 2.62	15–1000	(1.2 ± 0.1) × 10−5	20–10 000	K/Su/S	965 ± 27	101 ± 1.4	109 ± 9.1	15
061021	0.346	−1.22 ± 0.13	13.4 ± 2.3	20–2000	(3.72 ± 0.93) × 10−6	20–2000	K	1046 ± 485	0.46 ± 0.08	1.73 ± 0.43	16
061121	1.314	−1.32 ± 0.05	56.7 ± 3.9	20–5000	(1.28 ± 0.17) × 10−5	20–5000	K	1402 ± 185	27.2 ± 1.87	142 ± 18.9	17
061222A	2.09	−1.00 ± 0.05 [−2.32 ± 0.38]	16.2 ± 0.68	15–1000	(4.8 ± 1.3) × 10−6	20–10 000	K/Su/S	1091 ± 167	22.5 ± 0.94	140 ± 38	15
070306	1.50	−1.67 ± 0.1	9.0 ± 0.63	15–350	(30.4 ± 1.64) × 10−8	15–150	S	>263	>8.74	>9.99	6, 7
070328	<4	−1.11 ± 0.04 [−2.33 ± 0.24]	32.6 ± 1.24	15–1000	(5.9 ± 1.2) × 10−6	20–10 000	K/Su/S	<3835	<133	<690	15
070521	1.35	−0.93 ± 0.12	18.1 ± 1.4	20–1000	(4.12 ± 0.91) × 10−6	20–1000	K	522 ± 56	9.22 ± 0.71	49.3 ± 10.9	18
071020	2.145	−0.65 ± 0.29	7.71 ± 1.36	20–2000	(6.04 ± 2.08) × 10−6	20–2000	K	1013 ± 204	8.65 ± 1.53	213 ± 73	19
071112Cc	0.82	−1.09 ± 0.07	3.0 ± 0.4	15–150	8 ± 1a	15–150	S				20
071117	1.331	−1.53 ± 0.15	5.84 ± 0.85	20–1000	(6.66 ± 1.83) × 10−6	20–1000	K	648 ± 317	3.59 ± 0.52	95.3 ± 26.2	21
080319B	0.937	−0.86 ± 0.01 [−3.59 ± 0.45]	613 ± 13	20–7000	(2.26 ± 0.21) × 10−5	20–7000	K	1307 ± 43	142 ± 3	102 ± 9.4	22
080319C	1.95	−1.20 ± 0.10	15.0 ± 2.7	20–4000	(3.35 ± 0.74) × 10−6	20–4000	K	1752 ± 504	14.6 ± 2.6	96.1 ± 21.2	23
080413B	1.10	−1.23 ± 0.25	3.25 ± 0.13	15–150	(14.0 ± 0.58) × 10−7	15–150	S	163 ± 34	1.65 ± 0.06	14.9 ± 0.62	7
080430c	0.77	−1.73 ± 0.08	1.17 ± 0.05	15–150	(18.2 ± 1.31) × 10−8	15-150	S				7
080602	∼1.4	−0.96 ± 0.63	7.92 ± 1.46	20–1000	(1.92 ± 0.58) × 10−6	20–1000	K	>542	>4.34	>25.3	24
080603B	2.69	−1.23 ± 0.64	4.50 ± 1.17	20–1000	(1.51 ± 0.39) × 10−6	20–1000	K	376 ± 214	9.41 ± 2.45	116 ± 30	25
080605	1.64	−1.03 ± 0.07	30.2 ± 1.2	20–2000	(1.60 ± 0.33) × 10−5	20–2000	K	665 ± 48	22.1 ± 0.88	308 ± 64	26
080607	3.036	−1.08 ± 0.06	89.3 ± 4.9	20–4000	(2.69 ± 0.54) × 10−5	20–4000	K	1691 ± 169	186 ± 10	2259 ± 453	27
080613B		−1.05 ± 0.18	22.1 ± 4.1	20–3000	(4.76 ± 1.31) × 10−6	20–3000	K	733 ± 239			28
080721	2.591	−0.96 ± 0.07 [−2.42 ± 0.29]	88.1 ± 7.6	20–7000	(2.11 ± 0.35) × 10−5	20–7000	K	1785 ± 223	121 ± 10	1038 ± 172	29
080804	2.20	−0.72 ± 0.04	9.88 ± 0.35	8–35 000	(7.30 ± 0.88) × 10−7	8–35 000	F	810 ± 45	11.4 ± 0.4	27.0 ± 3.3	30
080916A	0.689	−0.99 ± 0.05	7.02 ± 0.21	8–35 000	(4.87 ± 0.27) × 10−7	8–35 000	F	208 ± 11	0.92 ± 0.03	1.08 ± 0.06	30
081007	0.53	−1.4 ± 0.4	1.2 ± 0.1	25–900	2.2 ± 0.2a	25–900	F	61 ± 15	0.17 ± 0.015	0.43 ± 0.04	31
081121	2.512	−0.46 ± 0.08 [−2.19 ± 0.07]	28.4 ± 2.45	8–35 000	(5.17 ± 0.83) × 10−6	8–35 000	F	608 ± 42	30.5 ± 2.6	195 ± 31	30
081203A	2.10	−1.29 ± 0.14	30.5 ± 11.2	20–3000	2.9 ± 0.2a	15–150	S/K	1541 ± 756	35.0 ± 12.8	28.2 ± 1.9	32, 33
081221	2.26	−0.83 ± 0.01	27.2 ± 0.13	8–35 000	(24.2 ± 0.50) × 10−7	8–35 000	F	284 ± 2	34.6 ± 0.2	100 ± 2	30
081222	2.77	−0.90 ± 0.03 [−2.33 ± 0.10]	17.6 ± 1.63	8–35 000	(17.6 ± 0.58) × 10−7	8–35 000	F	630 ± 31	25.2 ± 2.3	94.9 ± 3.1	30
090102	1.547	−0.97 ± 0.01	34.9 ± 0.66	8–35 000	(29.3 ± 0.91) × 10−7	8–35 000	F	1174 ± 38	21.4 ± 0.4	45.7 ± 1.4	30
090201	<4	−0.97 ± 0.09 [−2.80 ± 0.52]	67.2 ± 5.0	20–2000	(7.30 ± 1.26) × 10−6	20–2000	K	<790	<229	<1246	34
090424	0.544	−1.02 ± 0.01 [−3.26 ± 0.18]	50.1 ± 1.06	8–35 000	(9.12 ± 0.14) × 10−6	8–35 000	F	250 ± 3.4	3.97 ± 0.08	11.2 ± 0.17	30
090709A	<3.5	−0.85 ± 0.08 [−2.7 ± 0.24]	91 ± 0.7	20–3000	(3.9 ± 0.6) × 10−6	20–3000	K	<1341	<229	<442	35
090715B	3.00	−1.1 ± 0.37	9.3 ± 1.3	20–2000	(9.0 ± 2.5) × 10−7	20–2000	K	536 ± 164	21.3 ± 3.0	82.6 ± 22.9	36
090812	2.452	−1.03 ± 0.07	26.1 ± 3.4	15–1400	2.77 ± 0.28a	100–1000	Su/K/S	2023 ± 663	40.5 ± 5.3	96.2 ± 9.7	37, 38
090926B	1.24	−0.19 ± 0.06	9.81 ± 0.16	8–35 000	(4.73 ± 0.28) × 10−7	8–35 000	F	212 ± 4.3	3.96 ± 0.06	4.28 ± 0.25	30
091018	0.971	−1.53 ± 0.48	1.44 ± 0.17	20–1000	(4.32 ± 0.95) × 10−7	20–1000	K	55 ± 26	0.80 ± 0.09	4.73 ± 1.04	39
091020	1.71	−1.20 ± 0.06 [−2.29 ± 0.18]	12.4 ± 1.81	8–35 000	(1.88 ± 0.26) × 10−6	8–35 000	F	507 ± 68	7.96 ± 1.16	32.7 ± 4.6	30
091127	0.49	−1.25 ± 0.05 [−2.22 ± 0.01]	24.8 ± 0.54	8–35 000	(9.38 ± 0.23) × 10−6	8–35 000	F	51 ± 1.5	1.61 ± 0.03	9.08 ± 0.22	30
091208B	1.063	−1.29 ± 0.04	5.98 ± 0.17	8–35 000	(25.6 ± 0.97) × 10−7	8–35 000	F	246 ± 15	1.97 ± 0.06	17.4 ± 0.7	30
100615A		−1.24 ± 0.07 [−2.27 ± 0.11]	8.64 ± 0.17	8–1000	8.3 ± 0.2a	8–1000	F	86 ± 8.5b			40
100621A	0.542	−1.70 ± 0.13 [−2.45 ± 0.15]	36 ± 4	20–2000	(1.70 ± 0.13) × 10−6	20–2000	K	146 ± 23	4.35 ± 0.48	3.17 ± 0.24	41
100728B	2.106	−0.90 ± 0.07	2.69 ± 0.11	8–35 000	(5.43 ± 0.35) × 10−7	8–35 000	F	404 ± 29	2.98 ± 0.13	18.7 ± 1.2	42
110205A	2.22	−1.52 ± 0.14	36.6 ± 3.5	20–1200	(5.1 ± 0.7) × 10−7	20–1200	K	715 ± 238	55.9 ± 5.3	25.1 ± 3.4	43
110503A	1.613	−0.98 ± 0.08 [−2.7 ± 0.3]	26 ± 2	20–5000	(1.0 ± 0.1) × 10−5	20–5000	K	572 ± 50	18.0 ± 1.4	181 ± 18	44
